Parameter,Estimation Model,Model Specification,Percent Mobility,Cluster Correlation,ICC,Population Parameter,Mean(Est),SD(EST),Mean(SE),MSE,Coverage,Mean(ESS)
rp_int_v1,HLM,Null,0,0,0.05,19,19.0208564786097,0.5564882044107867,0.54502672700888255,4.3499269999693253e-4,0.952,2494.5754422834075
rp_int_v1,HLM,Null,0,0,0.15,5.666666666666666,5.669946713757899,0.16388843308240866,0.1626257023078047,1.0758708920708077e-5,0.959,2499.857034638317
rp_int_v1,HLM,Null,0,0,0.3,2.3333333333333335,2.333262028609553,0.06534834141053181,0.0669381250172827,5.084363633425563e-9,0.959,2500
rp_int_v1,HLM,Null,0,0.25,0.05,19,19.02122111278629,0.5562535624651955,0.545069703448911,4.5033562788841347e-4,0.952,2492.5901346166847
rp_int_v1,HLM,Null,0,0.25,0.15,5.666666666666666,5.669974920221746,0.16388532567556804,0.16263397128039722,1.0944541584697393e-5,0.959,2500
rp_int_v1,HLM,Null,0,0.25,0.3,2.3333333333333335,2.333268004671773,0.06535071727473914,0.0669406082515923,4.267834021272394e-9,0.959,2500
rp_int_v1,HLM,Null,0.25,0,0.05,19,19.107268587028383,0.5767826133621146,0.5474626962714917,0.011506549763065716,0.933,2482.9009430644287
rp_int_v1,HLM,Null,0.25,0,0.15,5.666666666666666,5.767558853531096,0.17376621070479936,0.16544203898185691,0.010179233370286998,0.898,2499.860361489229
rp_int_v1,HLM,Null,0.25,0,0.3,2.3333333333333335,2.435096957800834,0.07442980787065301,0.06986719113076817,0.01035583526476245,0.691,2500
rp_int_v1,HLM,Null,0.25,0.25,0.05,19,19.08363489942983,0.5736085348472372,0.5467436788450037,0.006994796402637508,0.932,2481.8917626725847
rp_int_v1,HLM,Null,0.25,0.25,0.15,5.666666666666666,5.74355748972469,0.17097104325977477,0.16473545901033088,0.005912198670540368,0.918,2499.8590983955464
rp_int_v1,HLM,Null,0.25,0.25,0.3,2.3333333333333335,2.410910424298081,0.0711180690755283,0.06916776453230446,0.006018205042552711,0.805,2500
rp_int_v1,HLM,Null,0.5,0,0.05,19,19.19761458514635,0.570988428589974,0.5498798774430037,0.03905152426256427,0.925,2447.207962276992
rp_int_v1,HLM,Null,0.5,0,0.15,5.666666666666666,5.82794475447238,0.1758463496496754,0.16713087732483806,0.026010621606267617,0.847,2498.8865956965033
