Parameter,Estimation Model,Model Specification,Percent Mobility,Cluster Correlation,ICC,Population Parameter,Mean(Est),SD(EST),Mean(SE),MSE,Coverage,Mean(ESS)
rp_int_v2,HLM,L2,0.25,0.25,0.05,0.90625,0.12104638946020864,0.09372653303392514,0.0966336756818439,0.6165447100047243,0.001,77.34231300814216
rp_int_v2,HLM,L2,0.25,0.25,0.15,0.90625,0.15060516481014713,0.059076135530223825,0.05882802575096221,0.5709991169490998,0,407.4490620621145
rp_int_v2,HLM,L2,0.25,0.25,0.3,0.90625,0.15624882416604302,0.041413293496603686,0.04383760493715642,0.5625017637523181,0,911.3648518309593
rp_int_v2,HLM,L2,0.5,0,0.05,0.75,0.09327672875548959,0.08027712984903866,0.08244104942111127,0.4312854549940907,0.007,66.75138631397384
rp_int_v2,HLM,L2,0.5,0,0.15,0.75,0.11188120672727078,0.05280656121052134,0.05084782264476668,0.4071955943278442,0,286.1245705379319
rp_int_v2,HLM,L2,0.5,0,0.3,0.75,0.12025636181573064,0.0353294411380548,0.036257320931959,0.39657704983355996,0,765.6855902899819
rp_int_v2,HLM,L2,0.5,0.25,0.05,0.8125,0.09285528525725414,0.0805364248740188,0.08228002573102075,0.517888515457168,0.001,66.77721474565713
rp_int_v2,HLM,L2,0.5,0.25,0.15,0.8125,0.11116486286988438,0.05256907584062233,0.050767458310222724,0.49187097457331813,0,282.15309989676183
rp_int_v2,HLM,L2,0.5,0.25,0.3,0.8125,0.11953265657552743,0.035461863790854954,0.03616503439893821,0.48020373905277086,0,752.9264322867701
rp_int_v2,HLM,L1 & L2,0,0,0.05,1,0.21053453326949492,0.051038143204021426,0.053611166310243805,0.6232557231600143,0,1232.6161888905262
rp_int_v2,HLM,L1 & L2,0,0,0.15,1,0.21052984198677954,0.0510382458932847,0.05361033317564238,0.6232631303934192,0,1232.6427474864074
rp_int_v2,HLM,L1 & L2,0,0,0.3,1,0.21052984198677968,0.051038245893284824,0.0536103331756424,0.623263130393419,0,1232.6427474864095
rp_int_v2,HLM,L1 & L2,0,0.25,0.05,1,0.2106418398386095,0.05079165320992485,0.053632358161620916,0.6230863050133754,0,1230.2190223939183
rp_int_v2,HLM,L1 & L2,0,0.25,0.15,1,0.21075710916505325,0.050895876938245946,0.05365664536898383,0.6229043407335035,0,1230.5218561540569
rp_int_v2,HLM,L1 & L2,0,0.25,0.3,1,0.21070071288461353,0.05081225051956413,0.05364609204635304,0.6229933646408572,0,1230.3125643159794
rp_int_v2,HLM,L1 & L2,0.25,0,0.05,0.875,0.15876685493923726,0.04050175816283536,0.04250381666972394,0.5129899180836316,0,1087.74854514797
rp_int_v2,HLM,L1 & L2,0.25,0,0.15,0.875,0.15887582326593117,0.04045733565618873,0.042527339855009304,0.5128338365030478,0,1088.24851075162
