Parameter,Estimation Model,Model Specification,Percent Mobility,Cluster Correlation,ICC,Population Parameter,Mean(Est),SD(EST),Mean(SE),MSE,Coverage,Mean(ESS)
fp_int,HLM,L1 & L2,0.5,0,0.05,10,9.998213990636808,0.09638993992493233,0.09110943590394306,3.189829445409725e-6,0.939,677.6093283844536
fp_int,HLM,L1 & L2,0.5,0,0.15,10,9.998169411839996,0.09639548071456935,0.09110812196662567,3.35105301154776e-6,0.939,677.6716795062241
fp_int,HLM,L1 & L2,0.5,0,0.3,10,9.998169411839985,0.09639548071456704,0.0911081219666259,3.3510530115867815e-6,0.939,677.6716795062084
fp_int,HLM,L1 & L2,0.5,0.25,0.05,10,9.997780842267538,0.09667795155321605,0.09138828030585507,4.9246610415456706e-6,0.939,682.0176811345983
fp_int,HLM,L1 & L2,0.5,0.25,0.15,10,9.997780842267526,0.09667795155321546,0.09138828030585537,4.924661041600859e-6,0.939,682.0176811345837
fp_int,HLM,L1 & L2,0.5,0.25,0.3,10,9.997780842267517,0.0966779515532143,0.09138828030585525,4.924661041640279e-6,0.939,682.017681134583
fp_int,MMREM,Null,0,0,0.05,20.30776406404415,20.29067712953578,0.16913074255488741,0.15881534918492812,2.9196333089333157e-4,0.921,460.4327498152276
fp_int,MMREM,Null,0,0,0.15,14.78713553878169,14.764753475485433,0.15252271934584816,0.13929116437359443,5.009567573976758e-4,0.912,151.83668969591082
fp_int,MMREM,Null,0,0,0.3,11.443375672974064,11.413743900154865,0.14816324755709492,0.13215268019369464,8.780419604086232e-4,0.904,66.06674932341113
fp_int,MMREM,Null,0,0.25,0.05,20.30776406404415,20.281995766438136,0.20165082804143047,0.1576420754833979,6.640051615120989e-4,0.867,470.01681202922407
fp_int,MMREM,Null,0,0.25,0.15,14.78713553878169,14.756523312458885,0.18728127413957127,0.1380943561590476,9.371084004386641e-4,0.837,155.21752918123508
fp_int,MMREM,Null,0,0.25,0.3,11.443375672974064,11.405433607953379,0.18354657046485026,0.13098491000811543,0.0014396002980338865,0.816,67.57472243143766
fp_int,MMREM,Null,0.25,0,0.05,20.30776406404415,20.301925086279255,0.16707254162579566,0.15962736203279485,3.4093661338944085e-5,0.931,469.18356941394995
fp_int,MMREM,Null,0.25,0,0.15,14.78713553878169,14.774270544823729,0.15088438143049318,0.1403163034031194,1.6550806953839108e-4,0.917,157.61232296084899
fp_int,MMREM,Null,0.25,0,0.3,11.443375672974064,11.422185379590163,0.14660798837381744,0.13325153114482297,4.490285336957982e-4,0.909,69.04777514078697
fp_int,MMREM,Null,0.25,0.25,0.05,20.30776406404415,20.30369060978755,0.20250105034920898,0.15911988833964594,1.6593029580600863e-5,0.869,477.91672517024233
fp_int,MMREM,Null,0.25,0.25,0.15,14.78713553878169,14.776172731288817,0.188311481022691,0.1392826706406616,1.2018314812580542e-4,0.844,161.5234785720136
fp_int,MMREM,Null,0.25,0.25,0.3,11.443375672974064,11.42425301489859,0.18420303902617682,0.1320830457479025,3.6567605187150704e-4,0.834,70.85769165611644
fp_int,MMREM,Null,0.5,0,0.05,20.30776406404415,20.304621968758106,0.16865300173547695,0.1593673726190556,9.872762786582228e-6,0.93,488.8973220400279
fp_int,MMREM,Null,0.5,0,0.15,14.78713553878169,14.77911457678086,0.1513251244081738,0.14052563945275565,6.433583141877698e-5,0.924,166.3756238010547
fp_int,MMREM,Null,0.5,0,0.3,11.443375672974064,11.428366036682219,0.14665263967445782,0.1335960219199898,2.2528918161347176e-4,0.918,72.92394185522112
fp_int,MMREM,Null,0.5,0.25,0.05,20.30776406404415,20.3000087436106,0.21135699466644034,0.16102893511578853,6.0144995027029296e-5,0.855,477.89322909653583
fp_int,MMREM,Null,0.5,0.25,0.15,14.78713553878169,14.774530481119573,0.198393461124089,0.1405063551016887,1.5888747866530715e-4,0.826,167.02139927542694
fp_int,MMREM,Null,0.5,0.25,0.3,11.443375672974064,11.42400426676252,0.19532948908878628,0.13298951466410544,3.752513786126449e-4,0.821,73.92218965493274
fp_int,MMREM,L2,0,0,0.05,20.30776406404415,20.299605108541762,0.1098552378452861,0.10240922294495632,6.656855488995085e-5,0.92,1489.2301204947648
fp_int,MMREM,L2,0,0,0.15,14.78713553878169,14.77896638895825,0.08077980694084498,0.0769447913796328,6.673500883783105e-5,0.932,637.8001227922994
fp_int,MMREM,L2,0,0,0.3,11.443375672974064,11.434547935530343,0.07171840014918,0.06769288613307377,7.792894837526409e-5,0.93,290.2633818382521
fp_int,MMREM,L2,0,0.25,0.05,20.30776406404415,20.299372181350005,0.11108443558895503,0.1031397474410096,7.042369515228908e-5,0.924,1492.2523215537842
fp_int,MMREM,L2,0,0.25,0.15,14.78713553878169,14.779133761751321,0.08144995315022348,0.07761381634449263,6.402843564374228e-5,0.929,634.3899668684438
fp_int,MMREM,L2,0,0.25,0.3,11.443375672974064,11.43487650711406,0.07203805077145799,0.0683220415915712,7.223582031584977e-5,0.927,289.9705024182766
fp_int,MMREM,L2,0.25,0,0.05,20.30776406404415,20.308616944027552,0.11138760799398795,0.10229611662469097,7.274042660874163e-7,0.931,1511.439704032229
fp_int,MMREM,L2,0.25,0,0.15,14.78713553878169,14.785908077492063,0.08183662071189858,0.07661119522472659,1.5066612175328512e-6,0.93,672.0403756843897
